number,name,type,zone,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration_h,duration_m,distance,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
12495,BIKANER - KOLKATA CHITPUR Pratap Exp,SF,NR,BKN,BIKANER JN,KOAA,KOLKATA CHITPUR,05:30:00,13:15:00,31.0,45.0,1873.0,12496,1,1,1,0,0,0
12513,SECUNDERABAD - GUWAHATI Exp,SF,NER,SC,SECUNDERABAD JN,GHY,GUWAHATI,07:30:00,05:50:00,46.0,20.0,2551.0,12514,1,1,1,0,0,0
12591,GORAKHPUR - YESVANTPUR SF Exp,SF,NFR,GKP,GORAKHPUR JN,YPR,YESVANTPUR JN,06:45:00,04:50:00,46.0,5.0,2547.0,12592,1,1,1,0,0,0
12624,Tiruvananthapuram Chennai SF Mail,SF,SR,TVC,TRIVANDRUM CENTRAL,MAS,CHENNAI CENTRAL,14:30:00,06:55:00,16.0,25.0,909.0,12623,1,1,1,1,0,0
12661,CHENNAI EGMORE - SENGOTTAI Pothigai SF Exp,SF,SR,MS,CHENNAI EGMORE,SCT,SENGOTTAI,20:05:00,08:15:00,12.0,10.0,670.0,12662,1,1,1,0,0,0
12709,Simhapuri SF Express,SF,SCR,GDR,GUDUR JN,SC,SECUNDERABAD JN,21:00:00,07:45:00,10.0,45.0,644.0,12710,1,1,1,1,0,0
12735,SECUNDERABAD - YESVANTPUR Garib Rath Exp,,,SC,SECUNDERABAD JN,YPR,YESVANTPUR JN,None,None,,,,12736,0,1,0,0,0,0
12736,YESVANTPUR - SECUNDERABAD Garib Rath Exp,,,YPR,YESVANTPUR JN,SC,SECUNDERABAD JN,None,None,,,,12735,0,1,0,0,0,0
12835,HATIA - YESVANTPUR SF Exp,SF,SER,HTE,HATIA,YPR,YESVANTPUR JN,18:20:00,05:00:00,34.0,40.0,1904.0,12836,1,1,1,0,0,0
12836,YESVANTPUR - HATIA SF Exp,SF,SER,YPR,YESVANTPUR JN,HTE,HATIA,08:30:00,19:15:00,34.0,45.0,1904.0,12835,1,1,1,0,0,0
12840,Chennai-Howrah SF Mail,SF,SER,MAS,CHENNAI CENTRAL,HWH,HOWRAH JN,23:40:00,04:10:00,28.0,30.0,1662.0,12841,1,1,1,1,0,0
12889,TATANAGAR - YESVANTPUR SF Exp,,,TATA,TATANAGAR JN,YPR,YESVANTPUR JN,None,None,,,,12890,1,1,1,0,0,0
12890,YESVANTPUR - TATANAGAR SF Exp,,,YPR,YESVANTPUR JN,TATA,TATANAGAR JN,None,None,,,,12889,1,1,1,0,0,0
12993,GANDHIDHAM - PURI SF Exp,SF,WR,GIMB,GANDHIDHAM BG,PURI,PURI,22:45:00,16:15:00,41.0,30.0,2283.0,12994,1,1,1,0,0,0
12994,PURI - GANDHIDHAM SF Exp,SF,WR,PURI,PURI,GIMB,GANDHIDHAM BG,19:50:00,13:20:00,41.0,30.0,2283.0,12993,1,1,1,0,0,0
13158,MUZAFFARPUR - KOLKATA CHITPUR Tirhut Exp,Exp,ER,MFP,MUZAFFARPUR JN,KOAA,KOLKATA CHITPUR,14:50:00,03:45:00,12.0,55.0,566.0,13157,1,1,0,0,0,0
13351,DHANBAD - ALAPPUZHA Exp,Exp,ECR,DHN,DHANBAD JN,ALLP,ALLEPPEY,10:50:00,20:25:00,57.0,35.0,2536.0,13352,1,1,1,0,0,0
15015,GORAKHPUR - YESVANTPUR Exp,Exp,NER,GKP,GORAKHPUR JN,YPR,YESVANTPUR JN,06:45:00,09:45:00,51.0,0.0,2532.0,15016,1,1,1,0,0,0
15024,YESVANTPUR - GORAKHPUR Exp,Exp,NER,YPR,YESVANTPUR JN,GKP,GORAKHPUR JN,23:40:00,05:05:00,53.0,25.0,2465.0,15023,1,1,1,0,0,0
15234,DARBHANGA - KOLKATA CHITPUR Maithili Exp,Exp,ECR,DBG,DARBHANGA JN,KOAA,KOLKATA CHITPUR,16:10:00,03:10:00,11.0,0.0,539.0,15233,1,1,1,0,0,0
18107,ROURKELA - KORAPUT Exp,Exp,SER,ROU,ROURKELA,KRPU,KORAPUT,16:45:00,07:30:00,14.0,45.0,645.0,18108,1,1,0,0,0,0
18311,SAMBALPUR - VARANASI Exp,Exp,ECoR,SBP,SAMBALPUR,BSB,VARANASI JN,13:10:00,08:55:00,19.0,45.0,896.0,18312,1,1,1,0,0,0
18616,HATIA - HOWRAH Kriya Yoga Express,Exp,SER,HTE,HATIA,HWH,HOWRAH JN,21:10:00,06:35:00,9.0,25.0,423.0,18615,1,1,1,1,0,0
37855,Howrah-Barddhaman Local,MEMU,?,HWH,HOWRAH JN,BWN,BARDDHAMAN JN,14:46:00,17:11:00,2.0,25.0,107.0,,0,0,0,0,0,0
51158,Itarsi Bhusaval Passenger,Pass,CR,ET,ITARSI JN,BSL,BHUSAVAL JN,19:20:00,08:35:00,13.0,15.0,322.0,51157,0,0,0,0,0,0
51671,ITARSI - KATNI Fast Passenger,Pass,CR,ET,ITARSI JN,KTE,KATNI,05:45:00,11:50:00,6.0,5.0,335.0,51672,0,0,0,0,0,0
51827,Itarsi Jhansi Passenger,Pass,NCR,ET,ITARSI JN,JHS,JHANSI JN,18:15:00,08:55:00,14.0,40.0,383.0,51828,0,0,0,0,0,0
52238,AISHBAGH - PILIBHIT PASS,Pass,NER,ASSH,AISHBAGH,PBE,PILIBHIT JN,03:30:00,12:20:00,8.0,50.0,256.0,52237,0,0,0,0,0,0
53041,HOWRAH - JAYNAGAR Passenger,Pass,ER,HWH,HOWRAH JN,JYG,JAYNAGAR,07:15:00,14:20:00,31.0,5.0,727.0,53042,0,0,0,0,0,0
53405,Rampurhat- Sahibganj Passenger,Pass,?,RPH,RAMPUR HAT,SBG,SAHIBGANJ JN,07:45:00,11:10:00,3.0,25.0,133.0,53406,0,0,0,0,0,0
54103,Chunar Allahabad Passenger,Pass,NCR,CAR,CHUNAR,ALD,ALLAHABAD JN,06:10:00,09:10:00,3.0,0.0,120.0,54104,0,0,0,0,0,0
54321,Balamau Sitapur Cantt Passenger,Pass,NR,BLM,BALAMU JN,SCC,SITAPUR CANT,07:15:00,12:30:00,5.0,15.0,68.0,54322,0,0,0,0,0,0
56100,ERODE - METUR DAM PASSENGER,,,ED,ERODE JN,MTDM,METUR DAM,None,None,,,,56101,0,0,0,0,0,0
56101,METUR DAM - ERODE PASSENGER,,,MTDM,METUR DAM,ED,ERODE JN,None,None,,,,56100,1,0,0,0,0,0
56731,MADURAI  - SENGOTTAI PASSENGER,Pass,SR,MDU,MADURAI JN,SCT,SENGOTTAI,07:15:00,10:50:00,3.0,35.0,173.0,56732,0,0,0,0,0,0
56732,SENGOTTAI - MADURAI  PASSENGER,Pass,SR,SCT,SENGOTTAI,MDU,MADURAI JN,07:00:00,10:45:00,3.0,45.0,173.0,56733,0,0,0,0,0,0
58161,HATIA - JHARSUGUDA Passenger (UnReserved),Pass,SER,HTE,HATIA,JSG,JHARSUGUDA JN,11:50:00,19:20:00,7.0,30.0,264.0,58162,0,0,0,0,0,0
63548,Gaya Koderma Passenger MEMU,MEMU,ER,GAYA,GAYA JN,KQR,KODERMA,05:30:00,07:15:00,1.0,45.0,76.0,,0,0,0,0,0,0
06012,Kollam Chennai Central (Weekly) SF Special,SF,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,11:30:00,03:40:00,16.0,10.0,858.0,06011,1,1,1,0,0,0
11028,Chennai-Mumbai CST Mail,Mail,CR,MAS,CHENNAI CENTRAL,CSTM,MUMBAI CST,22:50:00,03:45:00,28.0,55.0,1283.0,11027,1,1,1,0,0,0
11042,ChennaiCentral-CST Mumbai Express,Exp,CR,MAS,CHENNAI CENTRAL,CSTM,MUMBAI CST,11:55:00,13:45:00,25.0,50.0,1283.0,11041,1,1,1,0,0,0
12007,CHENNAI CENT - MYSORE Shatabdi Express,Shtb,SR,MAS,CHENNAI CENTRAL,MYS,MYSORE JN,06:00:00,13:00:00,7.0,0.0,500.0,12008,0,0,0,1,0,1
12689,CHENNAI CENTRAL - NAGERCOIL SF Exp,SF,SR,MAS,CHENNAI CENTRAL,NCJ,NAGERCOIL JN,18:15:00,11:05:00,16.0,50.0,927.0,12690,1,1,0,0,0,0
14115,Haridwar Express,Exp,NCR,ALD,ALLAHABAD JN,HW,HARIDWAR JN,23:35:00,14:30:00,14.0,55.0,725.0,14116,1,1,1,0,0,0
14116,Allahabad Express,Exp,NCR,HW,HARIDWAR JN,ALD,ALLAHABAD JN,16:20:00,07:45:00,15.0,25.0,725.0,14115,1,1,1,0,0,0
14125,Saryu Express,Exp,NCR,ALD,ALLAHABAD JN,FD,FAIZABAD JN,18:15:00,23:10:00,4.0,55.0,157.0,14126,0,0,0,0,0,0
15619,GAYA - KAMAKHYA Weekly Exp,Exp,NFR,GAYA,GAYA JN,KYQ,KAMAKHYA,12:50:00,12:30:00,23.0,40.0,1091.0,15620,1,1,0,0,0,0
16222,Kaveri Express,Exp,SWR,MAS,CHENNAI CENTRAL,MYS,MYSORE JN,21:30:00,08:00:00,10.0,30.0,500.0,16221,1,1,1,0,0,0
16627,West Coast Express,Exp,SR,MAS,CHENNAI CENTRAL,MAQ,MANGALORE CNTL,11:30:00,04:35:00,17.0,5.0,902.0,16628,1,1,1,0,1,0
17242,Simhadri Link Express,Exp,SCR,NDD,NIDADAVOLU JN,NS,Narasapur,12:30:00,14:30:00,2.0,0.0,76.0,17241,0,0,0,0,0,0
17311,CHENNAI CENT - VASCO DA GAMA Exp,Exp,SWR,MAS,CHENNAI CENTRAL,VSG,VASCO DA GAMA,14:10:00,13:00:00,22.0,50.0,1070.0,17312,1,1,1,0,0,0
17604,Prashanti Nilayam Express,Exp,SCR,YPR,YESVANTPUR JN,KCG,KACHEGUDA,16:15:00,05:00:00,12.0,45.0,664.0,17603,1,1,1,1,0,0
19025,Surat Bhavnagar Express Slip,Exp,WR,ST,SURAT,MHV,MAHUVA JN,05:30:00,17:20:00,11.0,50.0,629.0,19026,1,1,0,0,0,0
24512,Khurja Allahabad Link Express,Exp,NR,BSC,Bulandshahr,ALD,ALLAHABAD JN,18:15:00,09:55:00,15.0,40.0,672.0,,1,0,1,0,0,0
38458,Panskura Howrah EMU,MEMU,?,PKU,PANSKURA,HWH,HOWRAH JN,14:45:00,16:35:00,1.0,50.0,71.0,38457,0,0,0,0,1,0
42402,Sullurpeta Chennai EMU Local,MEMU,SR,SPE,SULLURUPETA,MAS,CHENNAI CENTRAL,05:40:00,07:40:00,2.0,0.0,83.0,,0,0,0,0,1,0
43001,Chennai Central Avadi EMU,MEMU,?,MAS,CHENNAI CENTRAL,AVD,AVADI,00:15:00,01:00:00,0.0,45.0,21.0,,0,0,0,0,0,0
47100,Hyderabad Lingampalli MMTS,Hyd,SCR,HYB,HYDERABAD DECCAN,LPI,LINGAMPALLI,05:10:00,05:50:00,0.0,40.0,25.0,,0,0,0,0,0,0
47126,Lingampalli Hyderabad MMTS,Hyd,SCR,LPI,LINGAMPALLI,HYB,HYDERABAD DECCAN,05:40:00,06:20:00,0.0,40.0,25.0,47125,0,0,0,0,0,0
47131,Lingampalli Hyderabad MMTS,Hyd,SCR,LPI,LINGAMPALLI,HYB,HYDERABAD DECCAN,08:40:00,09:25:00,0.0,45.0,25.0,,0,0,0,0,0,0
47173,Lingampalli Falaknuma MMTS,Hyd,SCR,LPI,LINGAMPALLI,FM,KACHEGUDA FALAKNUMA,06:20:00,07:40:00,1.0,20.0,37.0,,0,0,0,0,0,0
47186,Lingampalli Falaknuma MMTS,Hyd,SCR,LPI,LINGAMPALLI,FM,KACHEGUDA FALAKNUMA,16:15:00,17:30:00,1.0,15.0,37.0,,0,0,0,0,0,0
51285,Bhusaval Nagpur Passenger,Pass,CR,BSL,BHUSAVAL JN,NGP,NAGPUR,19:30:00,08:45:00,13.0,15.0,392.0,51286,0,0,0,0,0,0
52047,Kosamba Umarpada Passenger,Pass,WR,KSB,KOSAMBA JN,UMPD,Umarpada,09:30:00,13:45:00,4.0,15.0,62.0,52048,0,0,0,0,0,0
53069,Barddhaman Rampurhat Passenger,Pass,ER,BWN,BARDDHAMAN JN,RPH,RAMPUR HAT,20:10:00,22:40:00,2.0,30.0,112.0,53068,0,0,0,0,0,0
53349,Barwadih Dehri on Sone Passenger,Pass,ECR,BRWD,BARWADIH JN,DOS,DEHRI ON SONE,17:20:00,21:30:00,4.0,10.0,164.0,53350,0,0,0,0,0,0
53363,Gaya Dehri On Sone Passenger,Pass,ECR,GAYA,GAYA JN,DOS,DEHRI ON SONE,10:10:00,12:15:00,2.0,5.0,85.0,53364,0,0,0,0,0,0
53601,Gaya Dehri On Sone Passenger,Pass,ECR,GAYA,GAYA JN,DOS,DEHRI ON SONE,11:55:00,14:15:00,2.0,20.0,85.0,53602,0,0,0,0,0,0
53613,Gaya Mughal Sarai Fast Passenger,Pass,ECR,GAYA,GAYA JN,MGS,MUGHAL SARAI JN,18:00:00,22:40:00,4.0,40.0,205.0,53614,0,0,0,0,0,0
54101,Allahabad Kanpur Passenger,Pass,NCR,ALD,ALLAHABAD JN,CNB,KANPUR CENTRAL,16:45:00,23:05:00,6.0,20.0,214.0,54102,0,0,0,0,0,0
54336,Kanpur Balamau Passenger,Pass,NR,CNB,KANPUR CENTRAL,BLM,BALAMU JN,15:25:00,19:30:00,4.0,5.0,117.0,54335,0,0,0,0,0,0
54512,Nangal Dam Ambala Passenger,Pass,NR,NLDM,NANGAL DAM,UMB,AMBALA CANT JN,14:40:00,19:45:00,5.0,5.0,171.0,54511,0,0,0,0,0,0
55617,New Bongaigaon Guwahati Passenger,Pass,NFR,NBQ,NEW BONGAIGAON,GHY,GUWAHATI,16:25:00,20:50:00,4.0,25.0,184.0,55618,0,0,0,0,0,0
55801,Manas Rhino Passenger,Pass,NFR,NBQ,NEW BONGAIGAON,GHY,GUWAHATI,04:50:00,09:15:00,4.0,25.0,157.0,55802,0,0,0,0,0,0
57223,Gudur Vijayawada Passenger,Pass,SCR,GDR,GUDUR JN,BZA,VIJAYAWADA JN,15:05:00,22:15:00,7.0,10.0,294.0,57224,0,0,0,0,0,0
57277,Gudur Vijayawada Passenger,Pass,SCR,GDR,GUDUR JN,BZA,VIJAYAWADA JN,06:10:00,13:00:00,6.0,50.0,294.0,,0,0,0,0,0,0
57411,Tirupati Gudur Passenger,Pass,SCR,TPTY,TIRUPATI MAIN,GDR,GUDUR JN,13:45:00,16:00:00,2.0,15.0,93.0,57412,0,0,0,0,0,0
57452,Guntakal Chikjajur Passenger,Pass,SCR,GTL,GUNTAKAL JN,JRU,CHIKJAJUR JN,07:05:00,14:00:00,6.0,55.0,233.0,57451,0,0,0,0,0,0
57631,Solapur-Raichur Passenger,Pass,SCR,SUR,SOLAPUR JN,RC,RAICHUR,04:25:00,10:15:00,5.0,50.0,257.0,57632,0,0,0,0,0,0
58413,Dhenkanal Puri Passenger,Pass,ECoR,TLHR,TALCHER,PURI,PURI,05:15:00,11:45:00,6.0,30.0,200.0,58414,0,0,0,0,0,0
59014,Surat Passenger,Pass,WR,BSL,BHUSAVAL JN,ST,SURAT,18:25:00,04:10:00,9.0,45.0,336.0,59013,1,0,0,0,0,0
59076,Surat Passenger,Pass,WR,BSL,BHUSAVAL JN,ST,SURAT,08:45:00,19:55:00,11.0,10.0,336.0,59077,1,0,0,0,0,0
59380,Maksi Indore Bg Passenger,Pass,WR,MKC,MAKSI,INDB,INDORE JN BG,09:50:00,11:30:00,1.0,40.0,75.0,59379,0,0,0,0,0,0
